"zona","nome_zona","cod_municipio","nome_municipio","cod_distrito","nome_distrito","area_ha","utm_x","utm_y","area_m2_geom","nome_zona_tab","domicilios","familias","populacao","matriculas_escolares","empregos","automoveis_particulares","viagens_produzidas","viagens_atraidas","area_ha_tab","renda_total","renda_media_familiar","renda_per_capita","renda_mediana_familiar"
267,"Cidade Satélite",36,"São Paulo",75,"São Mateus",300.48,350611.325994697,7388415.34051726,2997219.95507812,"Cidade Satélite",8159,8159,25209.0020610296,9538.70850153635,10249.5256557795,5456.59958827786,54660.3238451327,54844.4374515868,300.48,28827096.7996973,3533.1654369037,1143.52391776194,2900
268,"Joaquim Nabuco",36,"São Paulo",15,"Campo Belo",198.44,328860.650683218,7385692.4398488,1979751.22607422,"Joaquim Nabuco",4976,5001.59623318742,13975.0000901948,2802.8910810532,11066.7656278175,5223.88409236799,39785.0904015659,39784.755778148,198.44,46548942.448165,9306.81731949808,3330.8724255984,6843.12652172168
269,"Vieira de Moraes",36,"São Paulo",15,"Campo Belo",171.28,329370.0748991,7386464.60383355,1708786.60375977,"Vieira de Moraes",8525.99999999999,8525.99999999999,21459.0038185128,2470.31542506531,18353.6207713271,10426.0981997488,67022.4065040896,66337.416840091,171.28,70855908.9467756,8310.56872469806,3301.91976971679,7300
270,"Campo Belo",36,"São Paulo",15,"Campo Belo",138.57,329765.356878163,7387083.35334193,1382449.7824707,"Campo Belo",3668,3668,9293.99996795088,1754.9912511902,9811.86498604037,4139.2034806426,27523.780523815,27473.234613725,138.57,23055309.4822908,6285.5260311589,2480.66597393953,5223.90246383501
271,"Congonhas",36,"São Paulo",15,"Campo Belo",179.42,331025.602539114,7386009.39967646,1789996.82568359,"Congonhas",0,0,0,138.901158857143,13426.0949283828,0,22796.3746676807,22402.4919931838,179.42,0,0,0,0
272,"Jardim Aeroporto",36,"São Paulo",15,"Campo Belo",198.55,330383.021245686,7384978.11284156,1980801.56469727,"Jardim Aeroporto",7133.99999999999,7133.99999999999,19506.0025784714,3554.46328800043,13027.7874248428,5875.32643459725,41279.7770206385,41859.4854008497,198.55,32664685.3173878,4578.73357406615,1674.59658563972,4209.08262865571
273,"Vila Santa Catarina",36,"São Paulo",37,"Jabaquara",325.71,330689.06337701,7383553.70175762,3249467.81860352,"Vila Santa Catarina",21766,21766,61475.9852291335,7720.10752536833,27077.6511117232,16786.3755101265,118440.516773346,119858.511827422,325.71,93456673.6446502,4293.69997448545,1520.21432916151,3213.12736868523
274,"Jabaquara",36,"São Paulo",37,"Jabaquara",288.72,332052.569830789,7384242.26893186,2880328.1027832,"Jabaquara",13238,13238,35825.9975038691,11566.6320806502,34389.3402771034,12528.6635371447,135925.542646039,134492.354298248,288.72,69062057.0057169,5216.95550730601,1927.70786070251,3987.82002130741
275,"Cidade Vargas",36,"São Paulo",37,"Jabaquara",347.45,333279.543981644,7384588.77523462,3466267.81542969,"Cidade Vargas",14450,14450,38239.0000655992,12671.224385048,24387.7527933061,11997.3142825438,113179.114716961,112411.534306595,347.45,85704103.4312711,5931.07982223329,2241.27470080926,4949.29291547114
276,"Jardim Bom Clima",36,"São Paulo",37,"Jabaquara",445.92,332409.739202346,7382170.75236162,4448680.44018555,"Jardim Bom Clima",29889,30452.8620689655,92604.9859789362,12335.0180579819,23391.1291704519,19580.7131940882,159941.978203415,160340.664994093,445.92,113760852.720053,3735.63747349668,1228.45278272521,3213.12736868523
277,"Cupecê",36,"São Paulo",22,"Cidade Ademar",416.89,329787.740943353,7382275.15870772,4159117.32446289,"Cupecê",20573,20784.5666666667,59452.0014043456,18696.9953227043,26289.3466959307,18642.138200135,124162.004447482,124376.18639252,416.89,80617654.5220197,3878.72674061137,1356.01245740613,3044.22003137203
278,"Jardim Miriam",36,"São Paulo",22,"Cidade Ademar",513.94,332323.410590608,7380371.14200209,5127288.70239258,"Jardim Miriam",44813,44992.7424242424,138838.985911356,22532.128874315,21666.3674911816,19501.5686957068,209677.866285726,209824.242499416,513.94,120129463.269978,2669.97424022882,865.243018604848,2500
279,"Vila Missionária",36,"São Paulo",22,"Cidade Ademar",295.4,330695.894286609,7379940.63555631,2947453.15576172,"Vila Missionária",26669,27459.5789473684,83502.008022913,8625.72740510899,17838.9821086846,7935.79985274714,102021.336322983,101767.870807521,295.4,63337344.9150933,2306.56650040016,758.512835975316,2201.73287554739
280,"Jurubatuba",36,"São Paulo",16,"Campo Grande",482.59,326983.585476674,7381175.99832551,4814759.53051758,"Jurubatuba",7300,7300,20114.0021877784,11244.6001692443,28167.4633183553,6565.00113096683,78494.5380600195,78828.6640518065,482.59,40064239.1783109,5488.25194223437,1991.85814957575,4442.62190374453
281,"Vila São Pedro",36,"São Paulo",16,"Campo Grande",312.58,328244.404870347,7381973.34299501,3118507.15527344,"Vila São Pedro",14777,14959.8,41021.9945875476,9524.02672031165,19470.3346448126,15749.9671458723,85019.2551082388,85231.9465629927,312.58,104021578.690836,6953.40704359922,2535.75136306054,5223.90246383501
282,"Campo Grande",36,"São Paulo",16,"Campo Grande",272.36,329171.187643855,7380200.05103848,2716913.31323242,"Campo Grande",11639,11749.4838709678,33789.9939829298,10041.4470937668,22802.4991049925,9296.21313875367,86888.2724338662,86725.049156745,272.36,41280190.3321594,3513.36201534436,1221.66906430979,3200
283,"Vila Sabará",36,"São Paulo",16,"Campo Grande",234.56,328094.287509918,7379155.43797222,2340196.88671875,"Vila Sabará",3847,3847,10684.0025585515,673.296825381027,3689.0874418566,2839.9833398083,19202.3246763382,19204.2793171973,234.56,15837370.6683909,4116.81067543303,1482.34433505583,4000
284,"Mar Paulista",36,"São Paulo",59,"Pedreira",548.66,330331.130927674,7378372.34030595,5473781.73242188,"Mar Paulista",16660,16660,51001.001514621,14010.6313151447,13016.8501611424,9405.10958735713,81973.8536486401,82308.0888171456,548.66,54448823.2348834,3268.23668876851,1067.60301989901,2800
285,"Pedreira",36,"São Paulo",59,"Pedreira",1302.69,332446.148551446,7376794.2767113,12996261.0969238,"Pedreira",34131,34131,106279.971896279,19408.809878416,27385.853429706,12169.6595152187,169615.085665725,170040.704142637,1302.69,85807284.4885142,2514.05714712473,807.370221853799,2201.73287554739
286,"Vila Socorro",36,"São Paulo",81,"Socorro",293.26,325091.016463761,7381420.71312884,2925827.3515625,"Vila Socorro",3296,3352.75,9119.00201457486,4957.29401784822,19341.1787024219,2166.59839893894,50861.0926601649,50509.3001188943,293.26,14017247.8400737,4180.82106929348,1537.14713711763,3778.18872313733
287,"Parque Interlagos",36,"São Paulo",81,"Socorro",935.66,325324.304253019,7378948.28809878,9335132.11572266,"Parque Interlagos",9172,9356.84582483812,27277.0043197288,7656.8974524492,14731.781504007,8769.88834311335,70743.1676925891,69619.1235772115,935.66,50855410.6653067,5435.10191546697,1864.40600548368,3579.57730072334
288,"Jardim Represa",36,"São Paulo",23,"Cidade Dutra",783.73,325063.346633611,7375244.55132194,7819303.91040039,"Jardim Represa",7074,7074,21829.9983460274,13029.9091820579,8849.84574496283,2541.40754256234,49834.7391292176,50035.153874455,783.73,21106097.7871405,2983.61574599103,966.839183979207,2884.19179697777
289,"Rio Bonito",36,"São Paulo",23,"Cidade Dutra",495.82,327087.354357466,7376925.10897866,4946708.640625,"Rio Bonito",15255,15255,47548.9995243986,12315.2460265123,21065.2779925881,10137.2798362987,94814.3209829909,95684.8119402854,495.82,59684600.818755,3912.46154170796,1255.22306285602,3570
290,"SESC Interlagos",36,"São Paulo",23,"Cidade Dutra",736.48,328767.021645325,7375996.82069378,7347701.77685547,"SESC Interlagos",17283,17283,56064.992599287,8959.46880962536,9715.38561163798,7440.14025754111,89884.5385055915,90077.4951644225,736.48,50471811.6342018,2920.31543332765,900.237550996194,2732.57590976586
291,"Jardim Presidente",36,"São Paulo",23,"Cidade Dutra",762.54,325518.733734586,7372908.78861732,7607912.33935547,"Jardim Presidente",24259,24259,75809.015064501,20927.8118070148,18070.3194556876,16337.7791376734,133198.875290124,132646.491784755,762.54,84328967.5806125,3476.1930656916,1112.3870625263,2937
292,"Vila Natal",36,"São Paulo",30,"Grajaú",415.09,326433.938348636,7371085.13191817,4141384.02807617,"Vila Natal",20493,20493,65632.988327081,13900.316350408,10646.9367105716,9125.62961524494,100459.627200579,98254.9547075391,415.09,52519630.4028447,2562.80829565436,800.201723881807,2000
293,"Grajaú",36,"São Paulo",30,"Grajaú",540.7,327931.259737424,7373328.34725625,5394511.12646484,"Grajaú",27744,28086.294117647,86030.9979959297,20205.9650575041,27179.4391734113,16368.7056800848,146102.527135464,145393.078399354,540.7,79095302.6876988,2816.1530444845,919.381438437352,2201.73287554739
294,"Cocaia",36,"São Paulo",30,"Grajaú",1093.33,330612.08577802,7373135.37830653,10907806.3720703,"Cocaia",35333,35333,113477.014236928,27665.9580307979,15059.8166194668,8700.12413426384,170092.04383046,170081.016559726,1093.33,81756371.2205424,2313.88139191527,720.466358498326,2201.73287554739
295,"Belmira Marin",36,"São Paulo",30,"Grajaú",1236.83,328967.640124484,7370253.02209283,12339628.8400879,"Belmira Marin",35636,36044.4739879576,114179.989800625,26971.5055218963,19584.5277899346,22070.4140112658,169462.403965996,169378.808267477,1236.83,103827502.296357,2880.53870146768,909.331858214866,2700
296,"Bororé",36,"São Paulo",30,"Grajaú",5992.56,330551.146001925,7366010.02328724,59786381.1276855,"Bororé",1285,1285,4147.99965043387,2107.42705834496,1597.42275894699,253.896917726785,9045.17451727639,8972.79399144367,5992.56,2629462.48738067,2046.27430924566,633.910971305321,1872.44435875636
297,"Jaceguava",36,"São Paulo",56,"Parelheiros",3512.69,320604.257837169,7369388.03321296,35048162.7070312,"Jaceguava",951,951,2907.00025721975,357.263886543739,798.499528007466,1150.04479899548,4098.30248453875,4332.82261272379,3512.69,4401335.58237903,4628.11312553,1514.0471939925,3000
298,"Parelheiros",36,"São Paulo",56,"Parelheiros",11667.08,326574.530174802,7361767.17950763,116404611.53833,"Parelheiros",44913,45386.5,145648.014339522,42620.8978194295,27668.1093450073,16042.9260537383,220423.525415759,220189.679856507,11667.08,105964135.330001,2334.70603219021,727.535736141151,2085.99241623413
299,"Marsilac",36,"São Paulo",52,"Marsilac",20795.96,326200.443924562,7351916.61924692,207488986.130859,"Marsilac",2621,2621,8362.99785196808,882.165258607006,2185.82683411569,1671.72960469671,10429.0045484854,10130.7769619099,20795.96,6803580.76118986,2595.7957883212,813.533720995606,2000
300,"Granja Julieta",36,"São Paulo",72,"Santo Amaro",616.88,325936.814205262,7385207.25926251,6154549.12182617,"Granja Julieta",13227,13439.0833333333,34905.0109313267,35867.0475040698,101042.41023345,14756.6680302545,268797.530146267,270426.638804458,616.88,114325555.341122,8506.94593563218,3275.33360657157,6142.57921176239
301,"Chácara Flora",36,"São Paulo",72,"Santo Amaro",452.25,328030.962737151,7384493.5278176,4511925.59057617,"Chácara Flora",4266,4266,12483.0020026203,4648.40893359028,18233.6862057144,6047.95465888011,50386.3485270181,49919.3071600245,452.25,41141271.7061352,9643.99242994262,3295.78347399922,7423.19217359734
302,"Santo Amaro",36,"São Paulo",72,"Santo Amaro",257.11,326630.348064523,7383291.51041603,2565110.2121582,"Santo Amaro",5985,5985,16387.0006275178,19234.3135803132,29701.5104529541,6176.4225755298,119537.648710926,120131.936097525,257.11,53180250.3984093,8885.58903899905,3245.27054140137,8046.5604032218
